refno,state,priority,impact,urgency,prev_state,ka_ref,closure_code,class
INC0000332396,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0000345891,0.99,0.499,0.398,0.398,Solved Confirmed, KB48302, Data, Batch Issue
INC0000376109,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF,Configuration Issue
INC0000388582,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0000394223,0.99,0.499,0.398,0.398,Solved Confirmed, KB28622, Data, Batch Issue
INC0000399300,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Suggested SS/FLF, General Error
INC0000437318,0.99,0.499,0.398,0.398,Solved Confirmed,?, External, Access/Authentication
INC0000449701,0.99,0.499,0.398,0.398,Solved Confirmed, KB27390,Troubleshooting Fix,Configuration Issue
INC0000499707,0.99,0.499,0.398,0.398,Solved Confirmed, KB27390,Configuration, General Error
INC0000512801,0.99,0.499,0.398,0.398,Solved Confirmed, KB107213,Suggested SS/FLF, General Error
INC0000533843,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix, Batch Issue
INC0000543268,0.99,0.499,0.398,0.6,Solved Confirmed, KB48302, Cancelled, General Error
INC0000554042,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0000573801,0.99,0.249,0.2,0.6,Solved Confirmed, KB27390,Suggested SS/FLF, General Error
INC0000588387,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0000596304,0.99,0.499,0.398,0.398,Solved Confirmed, KB27009, External, Batch Issue
INC0000639626,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917, External, Batch Issue
INC0000649905,0.99,0.499,0.398,0.398,Solved Confirmed, KB45819,Configuration, Access/Authentication
INC0000657247,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix, General Error
INC0000681685,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917,Suggested SS/FLF, General Error
INC0000737231,0.99,0.499,0.398,0.398,Solved Confirmed, KB2978 No Fault Found, General Error, General Error
INC0000740502,0.99,0.499,0.398,0.398,Solved Confirmed, KB70996,Suggested SS/FLF,Configuration Issue
INC0000753633,0.99,0.499,0.398,0.398,Solved Confirmed, KB48163,Suggested SS/FLF, General Error
INC0000791766,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917,Troubleshooting Fix, General Error
INC0000873488,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917,Configuration, General Error
INC0000903123,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917,Configuration, Batch Issue
INC0000909973,0.99,0.499,0.398,0.6,Solved Confirmed, KB0168455, External, Batch Issue
INC0000931895,0.99,0.499,0.398,0.398,Solved Confirmed, KB30350,Suggested SS/FLF, General Error
INC0000990112,0.99,0.499,0.398,0.398,Solved Confirmed, KB0161503, User Error, General Error
INC0001089232,0.99,0.499,0.398,0.398,Solved Confirmed, KB28622,Configuration, Batch Issue
INC0001092201,0.99,0.499,0.398,0.398,Solved Confirmed, KB23458, Cancelled, Data Issue
INC0001109891,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455, No Fault Found, General Error
INC0001115093,0.99,0.499,0.398,0.398,Solved Confirmed, KB29255, Data, General Error
INC0001131976,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455,Troubleshooting Fix, Batch Issue
INC0001144325,0.99,0.499,0.398,0.398,Solved Confirmed, KB104137, No Fault Found, General Error
INC0001151531,0.99,0.499,0.398,0.398,Solved Confirmed, KB3078 Configuration,Configuration Issue, General Error
INC0001155222,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455,Configuration, General Error
INC0001159737,0.99,0.499,0.398,0.398,Solved Confirmed, KB64777, User Error, General Error
INC0001164124,0.99,0.499,0.398,0.398,Solved Confirmed, KB0167876,Configuration,Configuration Issue
INC0001191037,0.99,0.499,0.398,0.398,Solved Confirmed, KB48302, Data,Configuration Issue
INC0001194849,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917, User Error, General Error
INC0001196062,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726, Data, Batch Issue
INC0001202371,0.99,0.499,0.398,0.398,Solved Confirmed, KB48163,Configuration, Access/Authentication
INC0001299165,0.99,0.499,0.398,0.398,Solved Confirmed, KB23443,Suggested SS/FLF,Configuration Issue
INC0001303512,0.99,0.499,0.398,0.398,Solved Confirmed, KB48163,Configuration, Access/Authentication
INC0001346166,0.99,0.499,0.398,0.398,Solved Confirmed, KB27009,Suggested SS/FLF, Facilities Issue
INC0001400377,0.99,0.499,0.398,0.398,Solved Confirmed, KB31304,Suggested SS/FLF, Access/Authentication
INC0001426011,0.99,0.499,0.398,0.398,Solved Confirmed, KB45819,Suggested SS/FLF, Access/Authentication
INC0001516422,0.99,0.249,0.2,0.6,Solved Confirmed,?,Suggested SS/FLF, Data Issue
INC0001517736,0.99,0.499,0.398,0.398,Solved Confirmed, KB23682,Suggested SS/FLF, Performance
INC0001634298,0.99,0.499,0.398,0.398,Solved Confirmed, KB30304,Suggested SS/FLF, Access/Authentication
INC0001641256,0.99,0.499,0.398,0.398,Solved Confirmed, KB27020, No Fault Found, General Error
INC0001667364,0.99,0.499,0.398,0.398,Solved Confirmed, KB0177838,Troubleshooting Fix, Monitoring
INC0001732644,0.99,0.499,0.398,0.398,Solved Confirmed, KB23682,Troubleshooting Fix, Unavailable
INC0001735012,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, Data Issue
INC0001750456,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix, General Error
INC0001785044,0.99,0.499,0.398,0.398,Solved Confirmed, KB0179487,Troubleshooting Fix, Capacity Issue
INC0001789645,0.99,0.499,0.398,0.398,Solved Confirmed, KB30350,Troubleshooting Fix, General Error
INC0001799754,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, General Error
INC0001799918,0.99,0.499,0.398,0.398,Solved Confirmed,?,Configuration,Configuration Issue
INC0001815769,0.99,0.499,0.398,0.398,Solved Confirmed, KB0177838,Troubleshooting Fix,Configuration Issue
INC0001838973,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix, General Error
INC0001847345,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455,Suggested SS/FLF, General Error
INC0001853288,0.99,0.499,0.398,0.8,Solved Proposed,?,Troubleshooting Fix, Performance
INC0001899849,0.99,0.499,0.398,0.398,Solved Confirmed, KB0179922, External, Data Issue
INC0002132070,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, General Error
INC0002162642,0.99,0.499,0.398,0.398,Solved Confirmed, KB0172573, No Fault Found, General Error
INC0002165546,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix, Data Issue
INC0002175662,0.99,0.499,0.398,0.398,Solved Confirmed,?,Configuration, General Error
INC0002176098,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix, General Error
INC0002176900,0.99,0.499,0.398,0.398,Solved Confirmed, KB27020, User Error, General Error
INC0002177720,0.99,0.499,0.398,0.398,Solved Confirmed,?, User Error, General Error
INC0002178563,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, General Error
INC0002184118,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917, No Fault Found, General Error
INC0002194761,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, Access/Authentication
INC0002210579,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002228192,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002228197,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002228816,0.99,0.249,0.2,0.6,Solved Confirmed, KB96192,Configuration, Unavailable
INC0002231700,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, General Error
INC0002232000,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455,Suggested SS/FLF, General Error
INC0002245382,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF,Configuration Issue
INC0002251449,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455,Configuration, Performance
INC0002253277,0.99,0.499,0.398,0.398,Solved Confirmed, KB41917,Suggested SS/FLF, General Error
INC0002265398,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002307553,0.99,0.499,0.398,0.398,Solved Confirmed, KB110138, User Error, Capacity Issue
INC0002333313,0.99,0.249,0.2,0.6,Solved Confirmed, KB0172952,Configuration, Capacity Issue
INC0002371684,0.99,0.499,0.398,0.398,Solved Confirmed, KB30350,Suggested SS/FLF, General Error
INC0002373136,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002388054,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002407221,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix, General Error
INC0002417132,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, Batch Issue
INC0002421420,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002433989,0.99,0.499,0.398,0.398,Solved Confirmed, KB30304,Suggested SS/FLF, General Error
INC0002437562,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002444158,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix, General Error
INC0002469141,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Troubleshooting Fix, General Error
INC0002477634,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002482845,0.99,0.499,0.398,0.398,Solved Confirmed,?, User Error, General Error
INC0002491675,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Troubleshooting Fix, General Error
INC0002553225,0.99,0.499,0.398,0.398,Solved Confirmed, KB48163, User Error, Access/Authentication
INC0002559998,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002562748,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix,Configuration Issue
INC0002569105,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002587147,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002587161,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, General Error
INC0002594044,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Troubleshooting Fix, General Error
INC0002622351,0.99,0.499,0.398,0.398,Solved Confirmed, KB27020,Suggested SS/FLF, General Error
