Incident CI Primary,Incident State,Incident Priority,Incident Impact,Incident Urgency,Incident Previous State,Incident Knowledge Article Reference,Incident Closure Code,Incident Symptom Code

 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB48302, Data, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB28622, Data, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB31179, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , External, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27390, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27390, Configuration, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB107213, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Troubleshooting Fix, Batch Issue
 1, 0.99, 0.499, 0.398, 0.60, Solved Confirmed, KB48302, Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.249, 0.20, 0.60, Solved Confirmed, KB27390, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27009, External, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, External, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB45819, Configuration, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB96726, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB29781, No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB70996, Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB48163, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, Configuration, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, Configuration, Batch Issue
 1, 0.99, 0.499, 0.398, 0.60, Solved Confirmed, KB0168455, External, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB30350, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0161503, User Error, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB28622, Configuration, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB23458, Cancelled, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0168455, No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB29255, Data, General Error
